dataset,trials,n_seeds,mean_diff,median_diff,ci95_lo_mean_diff,ci95_hi_mean_diff,mean_diff_pr,ci95_lo_mean_diff_pr,ci95_hi_mean_diff_pr,primary_absdiff_metric,cohen_dz,rank_biserial_sign,wilcoxon_stat,p_value,alpha,p_bh_fdr
breast_cancer,1,50,-0.0004918763102725299,-0.00018453004891688662,-0.0012712100366876337,0.0002980116614255915,-0.00014226631288120518,-0.0009786355655265538,0.0008769444444131213,paired_absdiff_roc_auc_gap,-0.17788686654507438,-0.2,416.5,0.9122604698937203,0.05,1.0
breast_cancer,5,50,0.0021412037037037025,0.00044440076869323164,0.0004571005852550591,0.004103480957372466,0.0017917131043724078,-0.0005987290764218938,0.004190810741610695,paired_absdiff_roc_auc_gap,0.3146734678698616,0.22,852.5,0.008482420608012114,0.05,0.021206051520030286
breast_cancer,10,50,0.002681123340321454,0.0007337526205450917,0.0007451345213137708,0.004729999781621245,0.0022039342290867767,-0.0004219591025556768,0.004782346220676504,paired_absdiff_roc_auc_gap,0.35823105175480496,0.26,863.5,0.006263220317874034,0.05,0.015658050794685085
breast_cancer,20,50,0.002330581761006292,0.0007337526205450917,0.0005904939727463236,0.0042657603948287985,0.0016220870549275301,-0.0008289376418169531,0.003837208384807564,paired_absdiff_roc_auc_gap,0.34169774145553444,0.28,850.0,0.003601005515212014,0.05,0.009002513788030036
breast_cancer,40,50,0.002646401118099233,0.0006081848357791797,0.0004711958420684735,0.005164976415094339,0.002115803960996867,-0.0006062787581012726,0.004936797842715851,paired_absdiff_roc_auc_gap,0.3129892579700783,0.28,838.0,0.005171143766385092,0.05,0.01292785941596273
diabetes_binary,1,50,-0.0025332314744079465,-0.001747517188693648,-0.006011370002546462,0.0007835338680926987,-0.0009278788927437808,-0.004985300302918957,0.002806722669996445,paired_absdiff_roc_auc_gap,-0.20133103983434808,-0.16,546.0,0.8111633970029457,0.05,1.0
diabetes_binary,5,50,0.0069964349376114045,0.006636745607333794,0.002190511204481803,0.012021199388846425,0.008321200964828392,0.0032804134512209827,0.013657273722526519,paired_absdiff_roc_auc_gap,0.3986805555453006,0.24,905.0,0.0045584803166383026,0.05,0.021206051520030286
diabetes_binary,10,50,0.007856506238859173,0.009641583906289719,0.0029115100585688993,0.012946574993633804,0.008332312149146804,0.0028736527181761687,0.01382080984873601,paired_absdiff_roc_auc_gap,0.4375640177292272,0.24,932.0,0.0019566567735802565,0.05,0.009783283867901282
diabetes_binary,20,50,0.007772727272727291,0.009536541889483108,0.002860606060606076,0.01276329895594604,0.008851039363082902,0.002730930514895285,0.014751438228369206,paired_absdiff_roc_auc_gap,0.4244369830508483,0.32,940.0,0.0014981250912509125,0.05,0.007490625456254563
diabetes_binary,40,50,0.00865113318054497,0.009447415329768283,0.0034318022663611257,0.01360069391392923,0.00995089578403569,0.004280826909519328,0.0158875494007054,paired_absdiff_roc_auc_gap,0.4630457992514587,0.4,964.0,0.000641120917547866,0.05,0.00320560458773933
digits,1,50,-0.0009118575486569202,-0.0008285654022707201,-0.0021844679513525625,0.00032263704577303295,-0.0027350620895465983,-0.004891981714531293,-0.0007326771602638133,paired_absdiff_roc_auc_gap,-0.19474516168877437,-0.16,493.0,0.9185338713196831,0.05,1.0
digits,5,50,0.0012890023264122185,0.0008525974439815287,0.00014239948813298927,0.0024883466188334934,0.0007626633911421066,-0.001525241268904102,0.0032942109421766163,paired_absdiff_roc_auc_gap,0.2962223559479634,0.12,830.0,0.03173304763930496,0.05,0.04802009054176072
digits,10,50,0.001210467597578393,0.0006035031232711763,6.125116136354198e-05,0.0024226947410988377,0.0003105488377004573,-0.001607893620753978,0.002316176371071737,paired_absdiff_roc_auc_gap,0.2758407058554015,0.08,796.0,0.06399667169372592,0.05,0.0799958396171574
digits,20,50,0.0013340359609738406,0.00045754254394858584,0.00017230248149187634,0.0025410176053605655,0.0007339061173348438,-0.0013224844073086016,0.0028545492905221845,paired_absdiff_roc_auc_gap,0.3086415690413704,0.08,815.0,0.04380037623721034,0.05,0.05475047029651292
digits,40,50,0.0012312783648001724,0.0005673014225537898,0.00022085406825155007,0.0022956773057970646,0.0006228920301390839,-0.0012766830524699323,0.0025451239829916254,paired_absdiff_roc_auc_gap,0.3229124491815909,0.08,821.0,0.03859796156295392,0.05,0.0482474519536924
iris,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_absdiff_roc_auc_gap,0.0,0.0,0.0,1.0,0.05,1.0
iris,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_absdiff_roc_auc_gap,0.0,0.0,0.0,1.0,0.05,1.0
iris,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_absdiff_roc_auc_gap,0.0,0.0,0.0,1.0,0.05,1.0
iris,20,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_absdiff_roc_auc_gap,0.0,0.0,0.0,1.0,0.05,1.0
iris,40,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_absdiff_roc_auc_gap,0.0,0.0,0.0,1.0,0.05,1.0
wine,1,50,0.0003209876543209922,0.0,-0.0006271604938271547,0.001239506172839511,0.00045529053372192593,-0.001434614940252187,0.002330408390629026,paired_absdiff_roc_auc_gap,0.09217582826906642,0.02,72.0,0.24684291583296758,0.05,1.0
wine,5,50,0.0013876543209876634,0.0,9.370370370371659e-05,0.002780246913580262,0.002588286695149473,7.861382263345509e-05,0.0053936744709539314,paired_absdiff_roc_auc_gap,0.28014528847071907,0.16,102.0,0.038416072433408575,0.05,0.04802009054176072
wine,10,50,0.0015111111111111208,0.0,0.00017753086419753443,0.0030172839506173023,0.002810508917371699,0.00031780431079452855,0.00578478115384983,paired_absdiff_roc_auc_gap,0.2935260238613315,0.16,104.0,0.030831440498702227,0.05,0.05138573416450371
wine,20,50,0.0015111111111111208,0.0,0.0001727160493827161,0.003037037037037056,0.002810508917371699,0.00022236038017902528,0.005688643757295774,paired_absdiff_roc_auc_gap,0.2935260238613315,0.16,104.0,0.030831440498702227,0.05,0.05138573416450371
wine,40,50,0.0015111111111111208,0.0,0.00015790123456790222,0.002948148148148162,0.002810508917371699,0.00022732587764453318,0.0057060038790186455,paired_absdiff_roc_auc_gap,0.2935260238613315,0.16,104.0,0.030831440498702227,0.05,0.0482474519536924
